Date,GRNSOLAR,GRNWIND,GRNGEO,GRNFUEL,GRNBIO,CL1 Comdty,NG1 Comdty
2010-10-13,1016.06,1014.36,1002.91,1017.4,1032.49,3695.60474,164.54591
2010-10-14,1039.82,1025.17,1004.89,1017.34,1046.35,3648.6958,161.36513
2010-10-15,1027.44,1021.69,995.95,1018.52,1032.69,3583.125,155.89349
2010-10-18,1017.48,1025.51,993.07,1018.64,1015.45,3686.67505,152.25063
2010-10-19,982.35,1008.71,981.21,987.6,974.08,3526.57373,155.85425
2010-10-20,994.51,1003.29,989.21,984.47,1013.98,3628.5437,157.04312
2010-10-21,986.93,1006.9,987.9,994.51,1010.57,3570.82202,149.28661
2010-10-22,988.3,1007.21,998.75,1002.88,1004.89,3642.96509,148.59055
2010-10-25,999.66,1013.26,999.32,1017.08,1030.5,3660.99976,147.15871
2010-10-26,999.46,982.96,996.24,1032.73,1031.81,3668.93481,149.06853
2010-10-27,996.54,964.27,987.77,1038.71,1021.04,3644.28101,146.4117
2010-10-28,1008.83,967.5,984.13,1058.99,1027.28,3660.70801,173.28004
2010-10-29,991.65,966.58,987.46,1040.02,1031.23,3618.34204,179.42853
2010-11-01,982.1,965.22,983.71,1033.7,1061.76,3689.20117,170.42821
2010-11-02,993.46,977.09,990.91,1051.91,1066.89,3723.0625,171.73125
2010-11-03,993.87,985.56,995.57,1057.59,1076.17,3757.27148,170.18414
2010-11-04,1009.96,995.54,995.56,1088.43,1102.71,3825.02026,170.5316
2010-11-05,1012.65,983.38,991.96,1087.09,1086.87,3840.94116,174.11383
2010-11-08,1015.49,971.43,996.89,1146.84,1078.98,3865.02881,181.48676
2010-11-09,1009.44,970.29,978.27,1108.21,1081.63,3838.66089,186.35565
2010-11-10,990.67,965.1,972.86,1129.36,1071.78,3890.42212,179.25803
2010-11-11,972.34,944.73,982.21,1079.63,1055.36,3890.86108,174.00537
2010-11-12,944.01,932.94,956.4,1053.18,1024.7,3804.74609,170.29018
2010-11-15,940.11,927.91,967.81,1053.59,1023.8,3838.64209,173.92857
2010-11-16,911.42,902.78,957.41,1016.93,987.93,3736.17749,173.24174
2010-11-17,879.63,901.95,939.16,1013.56,998.7,3649.9646,182.86125
2010-11-18,888.64,922.14,970.91,1016.89,1032.27,3701.66626,181.21657
2010-11-19,891.76,922.01,976.81,1022.55,1020.79,3691.99536,188.60838
2010-11-22,888.95,906.11,962.89,1000.86,1022.01,3711.81348,193.94611
2010-11-23,869.6,886.58,960.96,960.17,982.25,3703.78125,194.37444
